userid,firstname,patrinymic,lastname,phone
1,Иван,Юрьевич,Абомелик,+77503609892
2,Ольга,Юрьевич,Аглиуллин,+77503828209
3,,,,
4,Александр,Сергеевна,Белянский,+77504377691
5,Алексей,Сергеевич,Борисов,+77504414934
6,Ольга,Петровна,Брумару,+77504794878
7,Юрий,Петрович,Бурханов,+77506570650
8,Андрей,Олегович,Валиуллина,+77529571015
9,Павел,Николаевна,Веретенников,+77531672880
10,Мурат,Николаевич,Волков,+77532619989
11,,,,
12,Григорий,МухайХаджиевич,Генерозов,+77537211250
13,Леонид,Михайлович,Герасимов,+77541497449
14,Сергей,Леонидович,Горшков,+77541755735
15,Сергей,Ирековна,Джимбеев,+77542006495
16,Кирилл,Игоревич,Дорофеев,+77544144747
17,,,,
18,Олег,Иванович,Каменщиков,+77546516650
19,Борис,Завдатович,Колобков,+77546669451
20,Данилл,Евгеньевич,Комаров,+77548608436
21,Александр,Дмитриевна,Корнев,+77550305693
22,Евгений,Дмитриевич,Кудрявицкий,+77552276737
23,Виталий,Геннадьевич,Кузнецов,+77552903557
24,Яна,Ганиевич,Логинова,+77554541600
25,Виктор,Вячеславович,Малиновский,+77555051449
26,Артём,Владимировна,Морозов,+77555066404
27,Андрей,Владимирович,Никитин,+77556169807
28,Сергей,Владимирович,Нишанов,+77556296260
29,Алексей,Владимирович,Османов,+77582916022
30,Антон,Владимирович,Поблоцкий,+77586393641
31,Владимир,Витальевич,Подойницын,+77589565465
32,Михаил,Викторович,Рзянкина,+77589675799
33,Владимир,Викторович,Риманас,+77592696486
34,Антон,Васильевич,Салдан,+77593835003
35,Ирина,Валерьевна,Ткачев,+77595007973
36,Рифат,Валерьевич,Трояновский,+79931212112
37,Руслан,Валентинович,Тюленев,+79931769941
38,Гулия,Борисович,Файзрахманов,+79932198209
39,Ильнур,Борисович,Хаупова,+79932376992
40,Владимир,Андреевич,Хрисанфова,+79932494220
41,Верника,Анатольевич,Хромов,+79932776523
42,Александр,Александровна,Худяков,+79933642926
43,Марина,Александрович,Червонящий,+79934178475
44,Станислав,Александрович,Черешкова,+79936223911
45,Павел,Александрович,Шляхтина,+79937026870
46,Константин,Васисуальевич,Крамской-Рассупонинский,+71101101010
47,Алексей,Александрович,Ясинский,+79938283951
48,Один,Вторович,Третьяков,+71112223344
49,Другой,Третьевич,Четвертушкин,+72223334455
